Unnamed: 0_x,광역시도,시군,pop,moon,hong,ahn,ID,rate_moon,rate_hong,rate_ahn,Unnamed: 0_y,y,x,moon_vs_hong,moon_vs_ahn,ahn_vs_hong
52,인천광역시,연수구,208175.0,85853.0,41920.0,48166.0,인천 연수,41.24078299507626,20.136904047075777,23.137264320883872,96,10,1,21.10387894800048,18.103518674192387,3.000360273808095
53,인천광역시,남동구,327425.0,136132.0,66178.0,77693.0,인천 남동,41.57654424677407,20.2116515232496,23.728487439871728,97,10,2,21.36489272352447,17.848056806902342,3.516835916622128
54,인천광역시,부평구,345398.0,146859.0,66560.0,82590.0,인천 부평,42.518775441664395,19.27052270134743,23.9115455213985,73,8,2,23.248252740316964,18.607229920265894,4.64102282005107
55,인천광역시,계양구,205824.0,88890.0,37234.0,48622.0,인천 계양,43.18738339552239,18.090212997512438,23.623095460199007,63,7,2,25.09717039800995,19.56428793532338,5.532882462686569
56,인천광역시,서구,306672.0,132399.0,56236.0,72248.0,인천 서구,43.17283612458914,18.337507173788282,23.55872071790056,51,6,1,24.835328950800857,19.61411540668858,5.221213544112278
57,인천광역시,강화군,43938.0,12153.0,17041.0,9559.0,인천 강화,27.659429195684826,38.78419591242205,21.75565569666348,40,5,1,-11.124766716737224,5.903773499021344,-17.028540215758568
58,인천광역시,옹진군,14747.0,3935.0,5834.0,3092.0,인천 옹진,26.68339323252187,39.560588594290365,20.96697633416966,95,10,0,-12.877195361768496,5.7164168983522075,-18.593612260120704
59,광주광역시,동구,66287.0,37053.0,1308.0,23438.0,광주 동구,55.89783818848342,1.9732375880640245,35.35836589376499,243,23,3,53.924600600419396,20.53947229471843,33.38512830570097
60,광주광역시,서구,204787.0,124183.0,3182.0,62218.0,광주 서구,60.640079692558615,1.5538095679901558,30.381811345446728,233,22,2,59.08627012456846,30.258268347111887,28.82800177745657
61,광주광역시,남구,146037.0,85642.0,2521.0,47663.0,광주 남구,58.64404226326205,1.7262748481549197,32.63761923348192,242,23,2,56.91776741510713,26.00642302978013,30.911344385327002
62,광주광역시,북구,292001.0,177850.0,4241.0,88501.0,광주 북구,60.90732565984362,1.4523922863277865,30.308457847747093,234,22,3,59.454933373515836,30.59886781209653,28.856065561419307
63,광주광역시,광산구,248209.0,159119.0,3630.0,65402.0,광주 광산,64.10686155618853,1.4624771865645485,26.34956830735388,224,21,2,62.644384369623985,37.75729324883466,24.887091120789332
